,X,Y
0,0.6058766233766234,0.4871969696969697
1,0.7001548672566372,0.40171460176991153
2,0.6534317343173431,0.3622324723247232
3,0.5897809829059829,0.31992521367521365
4,0.5204873646209386,0.2711732851985559
5,0.4917285714285714,0.2042142857142858
6,0.4130290102389078,0.2012627986348123
7,0.3471280991735537,0.22723140495867766
8,0.35553811659192824,0.29988789237668156
9,0.2990866388308977,0.3142849686847599
10,0.23631645569620255,0.3521075949367089
11,0.16139705882352942,0.3826470588235294
12,0.20264285714285715,0.43987857142857145
13,0.19125,0.5255896226415094
14,0.20100775193798448,0.6023352713178294
15,0.21580851063829787,0.6622234042553191
16,0.25220458553791886,0.7328835978835978
17,0.2553146853146853,0.8027447552447552
18,0.33667582417582415,0.8207371794871796
19,0.43429602888086644,0.8038267148014441
20,0.5696046228710463,0.6948844282238443
21,0.6641337719298245,0.7055811403508773
22,0.7261861313868613,0.6653467153284671
23,0.7676973684210526,0.6203383458646616
24,0.713135838150289,0.5653179190751445
25,0.7736369509043928,0.533688630490956
26,0.7373469387755103,0.45431122448979594
27,0.47166155419222905,0.6263548057259714
28,0.3835567010309278,0.6038917525773195
29,0.4354325699745547,0.2693575063613231
